Fatpro  	SERRA               	16	11111	11947	S	 	            	            	            	            	D	AR03 	QR03 	FOGNA	DEPUR	N	20161020	R	00158	00063
#
Fatproc 	AC   	+00001,000	+0003,615200	500
#Fatproc 	ACS  	+00001,000	+0003,615200	500
Fatproc 	AFF  	+00001,000	+0020,000000	950	    
Fatproc 	CS   	+00001,000	+0004,650000	999	    
#
Fatpros 	SAC  	+00008,000	+0003,615200	790	    
Fatpros 	SDE  	+00022,000	+0000,578320	770	    
Fatpros 	SFO  	+00022,000	+0000,214633	775	    
Fatpros 	SQF  	+00095,000	+0000,060418	780	    
Fatpros 	STAG1	+00012,000	+0000,222779	710
Fatpros 	STAG2	+00010,000	+0000,518420	720
Fatpros 	SFO  	+00007,000	+0000,214633	775
Fatpros 	SQF  	+00002,000	+0000,060418	780
#
Fatprol 	01	 	0	01	U	000,00	003947	5	00000000	004560	 	20160818	S	004552	20160515	004538	00158	+00022
Fatprol 	01	 	1	01	U	000,00	001126	5	00000000	001365	 	20160818	S	001360	20160515	001352	00158	+00013
#
Fatprot 	20150901	AR03 	01	TAG1S	TAG1 	00128,80	LT	0000,202526	10,00	0000,020253	0000,222779	MC	010
Fatprot 	20150901	AR03 	02	TAG2S	TAG2 	00123,30	LT	0000,471291	10,00	0000,047129	0000,518420	MC	020
Fatprot 	20150901	AR03 	03	TBAS 	TBA  	00123,20	LT	0000,809889	10,00	0000,080989	0000,890878	MC	030
Fatprot 	20150901	AR03 	04	TEC1S	TEC1 	00169,90	LT	0002,038399	10,00	0000,203840	0002,242239	MC	040
Fatprot 	20150901	AR03 	05	TEC2S	TEC2 	99999,00	LT	0003,052149	10,00	0000,305215	0003,357364	MC	050
Fatprot 	20150901	DEPUR	01	DES  	DE   	99999,00	LT	0000,525745	10,00	0000,052575	0000,578320	MC	100
Fatprot 	20150901	FOGNA	01	FOS  	FO   	99999,00	LT	0000,195121	10,00	0000,019512	0000,214633	MC	200
Fatprot 	20150901	QR03 	01	QFS  	QF   	03287,67	LT	0000,054925	10,00	0000,005493	0000,060418	GG	300
Fatprot 	20160801	AR03 	01	TAG1S	TAG1 	00128,80	LT	0000,213867	10,00	0000,021387	0000,235254	MC	010
Fatprot 	20160801	AR03 	02	TAG2S	TAG2 	00123,30	LT	0000,497683	10,00	0000,049768	0000,547451	MC	020
Fatprot 	20160801	AR03 	03	TBAS 	TBA  	00123,20	LT	0000,855243	10,00	0000,085524	0000,940767	MC	030
Fatprot 	20160801	AR03 	04	TEC1S	TEC1 	00169,90	LT	0002,152549	10,00	0000,215255	0002,367804	MC	040
Fatprot 	20160801	AR03 	05	TEC2S	TEC2 	99999,00	LT	0003,223069	10,00	0000,322307	0003,545376	MC	050
Fatprot 	20160801	CDE  	00	CDES 	CDE  	99999,00	LT	0002,000000	10,00	0000,200000	0002,200000	MC	110
Fatprot 	20160801	CFC  	00	CFCS 	CFC  	99999,00	LT	0001,000000	10,00	0000,100000	0001,100000	MC	060
Fatprot 	20160801	CFO  	00	CFOS 	CFO  	99999,00	LT	0003,000000	10,00	0000,300000	0003,300000	MC	210
Fatprot 	20160801	DEPUR	01	DES  	DE   	99999,00	LT	0000,555187	10,00	0000,055519	0000,610706	MC	100
Fatprot 	20160801	FOGNA	01	FOS  	FO   	99999,00	LT	0000,206048	10,00	0000,020605	0000,226653	MC	200
Fatprot 	20160801	QR03 	01	QFS  	QF   	03287,67	LT	0000,058000	10,00	0000,005800	0000,063800	GG	300
